Sample,LOLP,EENS,SAIFI,SAIDI,Cost
55281,0.000904469890197355,2.57773918706246,0.000904469890197355,7.92315623812883,108648
55301,0.000904142782228169,2.57680692935028,0.000904142782228169,7.92029077231876,108648
55321,0.000903815910775293,2.57587534570959,0.000903815910775293,7.91742737839157,108648
55341,0.000903489275582299,2.57494443540955,0.000903489275582299,7.91456605410094,108648
55361,0.000903162876393129,2.57401419772042,0.000903162876393129,7.91170679720381,108648
55381,0.000902836712952095,2.57308463191347,0.000902836712952095,7.90884960546036,108648
55401,0.000902510785003881,2.57215573726106,0.000902510785003881,7.905994476634,108648
55421,0.000902185092293535,2.57122751303657,0.000902185092293535,7.90314140849137,108648
55441,0.000901859634566476,2.57029995851446,0.000901859634566476,7.90029039880233,108648
55461,0.00090153441156849,2.5693730729702,0.00090153441156849,7.89744144533997,108648
55481,0.000901209423045727,2.56844685568032,0.000901209423045727,7.89459454588057,108648
55501,0.000900884668744707,2.56752130592242,0.000900884668744707,7.89174969820364,108648
55521,0.000900560148412313,2.56659642297509,0.000900560148412313,7.88890690009186,108648
55541,0.000900235861795791,2.565672206118,0.000900235861795791,7.88606614933112,108648
55561,0.000899911808642753,2.56474865463185,0.000899911808642753,7.88322744371052,108648
55581,0.000899587988701175,2.56382576779835,0.000899587988701175,7.88039078102229,108648
55601,0.000899264401719394,2.56290354490027,0.000899264401719394,7.87755615906189,108648
55621,0.000898941047446108,2.56198198522141,0.000898941047446108,7.87472357562791,108648
55641,0.00089861792563038,2.56106108804658,0.00089861792563038,7.87189302852213,108648
55661,0.000898295036021631,2.56014085266165,0.000898295036021631,7.86906451554949,108648
55681,0.000897972378369641,2.55922127835348,0.000897972378369641,7.86623803451806,108648
55701,0.000897649952424553,2.55830236440997,0.000897649952424553,7.86341358323908,108648
55721,0.000897327757936864,2.55738411012006,0.000897327757936864,7.86059115952693,108648
55741,0.000897005794657433,2.55646651477369,0.000897005794657433,7.85777076119912,108648
55761,0.000896684062337476,2.55554957766181,0.000896684062337476,7.85495238607629,108648
55781,0.000896362560728563,2.55463329807641,0.000896362560728563,7.85213603198222,108648
55801,0.000896041289582624,2.55371767531048,0.000896041289582624,7.84932169674379,108648
55821,0.000895720248651941,2.55280270865803,0.000895720248651941,7.846509378191,108648
55841,0.000895399437689153,2.55188839741409,0.000895399437689153,7.84369907415698,108648
55861,0.000895078856447253,2.55097474087467,0.000895078856447253,7.84089078247794,108648
55881,0.000894758504679587,2.55006173833682,0.000894758504679587,7.83808450099318,108648
